"identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se ha compartido",Seguidores,Comentarios,"Veces guardado"
18013820987824089,17841446995032372,aroaxinping,~/aroa,"tutorial de terminal rosita 💅🏻 #womenintech #informatica #techgirl",22,"03/07/2026 13:45",https://www.instagram.com/reel/DVmUh6njKpP/,"Reel de Instagram",,Total,45453,32219,1973,516,224,26,906
17990765837946619,17841446995032372,aroaxinping,~/aroa,"no era mi tipo #techhumor #programacion #informatica",8,"03/09/2026 11:30",https://www.instagram.com/reel/DVrHuJDDFfa/,"Reel de Instagram",,Total,132205,85940,9160,1101,107,79,1378
18076930682415192,17841446995032372,aroaxinping,~/aroa,"lo más difícil #programacion #informatica #techhumor",6,"03/11/2026 11:46",https://www.instagram.com/reel/DVwTTs4jAlL/,"Reel de Instagram",,Total,92904,62076,7699,842,74,19,396
17857049817671298,17841446995032372,aroaxinping,~/aroa,"Excel -ente SELECT 
#Sql #sqldeveloper #techumor",4,"03/11/2026 15:12",https://www.instagram.com/reel/DVwqrf3DOso/,"Reel de Instagram",,Total,203332,81860,3029,5485,165,43,683
17969195934049334,17841446995032372,aroaxinping,~/aroa,"besote si entendiste 🚩
#github #programacion #techhumor #informatica",11,"03/13/2026 07:24",https://www.instagram.com/reel/DV0-wHCjK52/,"Reel de Instagram",,Total,54859,32163,1971,192,204,21,196
18096824840059303,17841446995032372,aroaxinping,~/aroa,"explicame 🐍 #programador #python #techhumor",6,"03/14/2026 06:15",https://www.instagram.com/reel/DV3bn8HDNnl/,"Reel de Instagram",,Total,2649307,1270432,83075,108272,1962,800,12934
17923779132256961,17841446995032372,aroaxinping,~/aroa,"no hagas force push
#programacion #developer #informatica",8,"03/14/2026 11:26",https://www.instagram.com/reel/DV3_Xc3DIBb/,"Reel de Instagram",,Total,131524,92780,9640,1582,285,93,1455
18078797234575358,17841446995032372,aroaxinping,~/aroa,"y yo no era ni la [3]
 #programacion #techhumor #informatica",5,"03/15/2026 11:05",https://www.instagram.com/reel/DV6h0ubjEci/,"Reel de Instagram",,Total,36406,19644,913,173,53,15,85
18077882552103846,17841446995032372,aroaxinping,~/aroa,"alguien me ayuda?? @nvidiageforcees 😭
#techhumor #geforce #informatica",7,"03/16/2026 11:22",https://www.instagram.com/reel/DV9IjjejHlJ/,"Reel de Instagram",,Total,1474479,728868,115258,10575,262,916,3292
18101546224926350,17841446995032372,aroaxinping,~/aroa,"php siempre funciona 💤 gracias @mouredev #techhumor #programacion #informatica",9,"03/17/2026 08:03",https://www.instagram.com/reel/DV_WbIzjIOZ/,"Reel de Instagram",,Total,90617,51790,7158,1431,213,124,536
